Section,Language from Directive,Obligation,Obligation Category,Primary Responsible Department,Support Function,Coverage Status,Policy Gap and Recommendations,Policy Page,Corresponding Policy Text,Priority
6.4.3,"not be siructured in a manner that may increase the risk of unfair treatment
of policyholders; and",This section provides contextual or background information and does not create a direct compliance obligation.,Risk Management,Risk Management,Enterprise Risk Management,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
6.4.4,"not be linked to the monetary value of insurance claims repudiated, paid, not
paid or partially paid.



--- Page 5 ---
7A",This section provides contextual or background information and does not create a direct compliance obligation.,Informational / Context,Legal & Compliance,Regulatory Compliance,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
75,"eee

= ae

Pee eee 2

The principles referred to under paragraphs 6.1 to 6.4 also apply to any sub-
outsourcing of an outsourcing by another person, where that other person is
authorised to sub-outsource under the outsourcing contract between the insurer
and that other person.

KEY REQUIREMENTS FOR OUTSOURCING

Outsourcing policy

An insurer that outsources any aspect of its insurance business must have an
outsourcing policy approved by its board of directors.

An outsourcing policy must, at least —","Insurers must address the requirement described in section 75: eee = ae Pee eee 2 The principles referred to under paragraphs 6.1 to 6.4 also apply to any sub- outsourcing of an outsourcing by another person, where that other person is authorised to sub-outsource under the outsourcing contract betwe...",Governance,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",11,"The evaluation process should include an assessment of the third party’s control framework, covering 
performance standards, policies, procedures, compliance, reporting, and monitoring processes.  
The due diligence should also address other issues, such as business strategy, reputation, 
experience with the proposed outsourced function, reliance on and performance of external third 
party, insurance coverage, business continuity management, and potential conflict of interest where 
the third party is related to ABC or has arrangements with competitors.  
The review process should be made on a yearly basis and retain the necessary expertise to supervise 
the outsourced activity effectively. 
Overseas Outsourcing 
In addition to the general due diligence process outlined above, in assessing whether to approve an 
application to offshore a Material Outsourcing Arrangement, would expect to consider the risks which 
could arise from overseas Outsourcing, including:  
• 
Country risk - the risk that overseas economic, political, and/or social events will impact the ability 
of the overseas third party to continue to provide an outsourced service to ABC.  
• 
Compliance (legal) risk - the risk that overseas outsourcing arrangements will impact ABC’s ability 
to comply with relevant Saudi Arabia and overseas laws and regulations (including accounting 
practices). 
• 
Contractual risk - the risk that ABC’s ability to enforce the overseas outsourcing agreement may 
be partly or completely hindered. 
• 
Access risk - the risk that the ability of ABC to obtain information and to retain records may be 
partly or completely hindered. This risk also refers to the potential difficulties or inability of ABC to 
access the third party and the material function activity being conducted. 
• 
Counterparty risk - the risk arising from the third party’s failure to meet the terms of any contract 
with ABC or to otherwise perform as agreed. 
• 
Brand risk – the risk arising from the third party’s failure to protect or respond to the damage done 
to ABC’s reputation including through contagion. 
• 
Security risk – the risk arising from the third party’s failure to have secure systems to protect their 
held data against cyberattacks or internal system breaches.  
These and other additional risks should be specifically addressed during the preparation of a business 
case when conducting the due diligence and during contract negotiations. Where ABC approves the 
overseas material outsourcing arrangement, these risks should also be considered when conducting 
the ongoing monitoring and control of that Material Outsourcing Arrangement. Specific risk 
management expertise is required when assessing, monitoring, and controlling material business 
activities outsourced to service providers conducting the activities outside Saudi Arabia.  
The risk assessment will also cover the impact of the material outsourcing arrangement in terms of its:  
• 
Overall risk profile and appetite; and  
• 
Systems and controls.",Medium
7.25,"give effect to the principles referred to in paragraph 6 above;

set limits on the types and overall level of outsourced functions or activities
at the insurer and the extent to which activities can be outsourced to the
same person;

provide guidance on the contractual risks and any other risk issues to be
assessed, monitored and managed in outsourcing (Annexure A provides
guidance on the types of risks that could be considered);

provide for the intemal review and approval of any outsourcing of a control,
management or material function in a manner consistent with that set out in
paragraph 7.5 below; and

provide for the appropriate management and regular review of any
outsourcing of a control, management or material function, in particular to
assess the impact on operational risk, if any, and any issues that may arise
from such arrangements with respect to market conduct and fair treatment of
customers consistent with that set out in paragraphs 7.9 to 7.11.

The outsourcing policy of an insurer must be reviewed at least annually and be
adapted in view of any significant changes.

An insurer must ensure that all its affected business units and staff are aware of,
and comply with, the outsourcing policy.

internat review and approvats

An insurer must prior to outsourcing any control, management or material function -



--- Page 6 ---
Directive 159.A.i (LT & ST} - Compliance with sections 9(3}(b){i) read with sections 12(1){c) of the!",Insurers must address the requirement described in section 7.25: give effect to the principles referred to in paragraph 6 above; set limits on the types and overall level of outsourced functions or activities at the insurer and the extent to which activities can be outsourced to the same person; provi...,Risk Management,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",11,"The evaluation process should include an assessment of the third party’s control framework, covering 
performance standards, policies, procedures, compliance, reporting, and monitoring processes.  
The due diligence should also address other issues, such as business strategy, reputation, 
experience with the proposed outsourced function, reliance on and performance of external third 
party, insurance coverage, business continuity management, and potential conflict of interest where 
the third party is related to ABC or has arrangements with competitors.  
The review process should be made on a yearly basis and retain the necessary expertise to supervise 
the outsourced activity effectively. 
Overseas Outsourcing 
In addition to the general due diligence process outlined above, in assessing whether to approve an 
application to offshore a Material Outsourcing Arrangement, would expect to consider the risks which 
could arise from overseas Outsourcing, including:  
• 
Country risk - the risk that overseas economic, political, and/or social events will impact the ability 
of the overseas third party to continue to provide an outsourced service to ABC.  
• 
Compliance (legal) risk - the risk that overseas outsourcing arrangements will impact ABC’s ability 
to comply with relevant Saudi Arabia and overseas laws and regulations (including accounting 
practices). 
• 
Contractual risk - the risk that ABC’s ability to enforce the overseas outsourcing agreement may 
be partly or completely hindered. 
• 
Access risk - the risk that the ability of ABC to obtain information and to retain records may be 
partly or completely hindered. This risk also refers to the potential difficulties or inability of ABC to 
access the third party and the material function activity being conducted. 
• 
Counterparty risk - the risk arising from the third party’s failure to meet the terms of any contract 
with ABC or to otherwise perform as agreed. 
• 
Brand risk – the risk arising from the third party’s failure to protect or respond to the damage done 
to ABC’s reputation including through contagion. 
• 
Security risk – the risk arising from the third party’s failure to have secure systems to protect their 
held data against cyberattacks or internal system breaches.  
These and other additional risks should be specifically addressed during the preparation of a business 
case when conducting the due diligence and during contract negotiations. Where ABC approves the 
overseas material outsourcing arrangement, these risks should also be considered when conducting 
the ongoing monitoring and control of that Material Outsourcing Arrangement. Specific risk 
management expertise is required when assessing, monitoring, and controlling material business 
activities outsourced to service providers conducting the activities outside Saudi Arabia.  
The risk assessment will also cover the impact of the material outsourcing arrangement in terms of its:  
• 
Overall risk profile and appetite; and  
• 
Systems and controls.",Medium
77,"Long-term Insurance Act and Short-term Insurance Act, respectively: Outsourcing",This section provides contextual or background information and does not create a direct compliance obligation.,Outsourcing / Third Party,Legal & Compliance,Regulatory Compliance,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
7.5.1,"assess the costs and benefits and potential risk to its insurance business
inherent in the proposed outsourcing;",Insurers must address the requirement described in section 7.5.1: assess the costs and benefits and potential risk to its insurance business inherent in the proposed outsourcing;,Risk Management,Risk Management,Enterprise Risk Management,Completely Covered,No gap identified. The uploaded policy appears to cover this obligation.,10,"The Department proposing the material outsourcing arrangement should prepare a detailed business 
case, detailing the potential costs, benefits and risks associated. As part of this process, the Board 
must make an ‘in principle’ decision to continue the outsourcing process and to call for selection 
process documents. The proposed documentation should clearly outline the requirements of ABC for 
the proposed material outsourcing arrangement. 
8.2  Eligibility and qualification of a business case 
The business case should contain a selection criterion that includes specific requirements and service 
expectations, which enables a fair and impartial selection prior to outsourcing to a third party. The 
selection criteria must consider assessing the following (as a minimum):  
• 
The financial resources of the third party to deliver the services, 
• 
The third party’s technical resources, systems, and capacity to deliver the required services, 
• 
The human resources of the third party having relevant skills to provide the services, 
• 
The third party’s compliance plans and procedures, 
• 
The third circumstances party’s internal control framework covering risk management, 
performance standards, policies, procedures, internal audit, review and compliance arrangements, 
reporting, and monitoring processes, 
• 
An assessment of the anti-money laundering and counter-terrorist financing risks of the third party, 
• 
The fees to be charged by a third party. 
9. Due Diligence 
The due diligence should be conducted before any final decision is made to determine whether to 
outsource a material activity or not. This should address all material factors that would impact the 
potential Third party’s ability to perform the business activity.  
The due diligence process should, as a minimum, assess the financial ability, technical ability, and 
capacity of the third party to deliver, including in stressful situations, the required services.",Low
7.5.2,"identify potential persons to undertake the outsourcing through objective
procurement and selection procedures;",This section provides contextual or background information and does not create a direct compliance obligation.,Outsourcing / Third Party,Operations,Business Operations,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
7.5.3,"consider the potential impact of multiple outsourcing arrangements by the
insurer and those provided by the person to a number of insurers;",This section provides contextual or background information and does not create a direct compliance obligation.,Risk Management,Legal & Compliance,Regulatory Compliance,Not Applicable / Informational,This item appears to provide context or background rather than a direct policy obligation; no policy amendment is required unless management wants to reference it for completeness.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
75.4,"assess whether the other person is fit and proper in terms of meeting
qualities of competence and integrity;",Insurers must address the requirement described in section 75.4: assess whether the other person is fit and proper in terms of meeting qualities of competence and integrity;,Informational / Context,Legal & Compliance,Regulatory Compliance,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",11,"The evaluation process should include an assessment of the third party’s control framework, covering 
performance standards, policies, procedures, compliance, reporting, and monitoring processes.  
The due diligence should also address other issues, such as business strategy, reputation, 
experience with the proposed outsourced function, reliance on and performance of external third 
party, insurance coverage, business continuity management, and potential conflict of interest where 
the third party is related to ABC or has arrangements with competitors.  
The review process should be made on a yearly basis and retain the necessary expertise to supervise 
the outsourced activity effectively. 
Overseas Outsourcing 
In addition to the general due diligence process outlined above, in assessing whether to approve an 
application to offshore a Material Outsourcing Arrangement, would expect to consider the risks which 
could arise from overseas Outsourcing, including:  
• 
Country risk - the risk that overseas economic, political, and/or social events will impact the ability 
of the overseas third party to continue to provide an outsourced service to ABC.  
• 
Compliance (legal) risk - the risk that overseas outsourcing arrangements will impact ABC’s ability 
to comply with relevant Saudi Arabia and overseas laws and regulations (including accounting 
practices). 
• 
Contractual risk - the risk that ABC’s ability to enforce the overseas outsourcing agreement may 
be partly or completely hindered. 
• 
Access risk - the risk that the ability of ABC to obtain information and to retain records may be 
partly or completely hindered. This risk also refers to the potential difficulties or inability of ABC to 
access the third party and the material function activity being conducted. 
• 
Counterparty risk - the risk arising from the third party’s failure to meet the terms of any contract 
with ABC or to otherwise perform as agreed. 
• 
Brand risk – the risk arising from the third party’s failure to protect or respond to the damage done 
to ABC’s reputation including through contagion. 
• 
Security risk – the risk arising from the third party’s failure to have secure systems to protect their 
held data against cyberattacks or internal system breaches.  
These and other additional risks should be specifically addressed during the preparation of a business 
case when conducting the due diligence and during contract negotiations. Where ABC approves the 
overseas material outsourcing arrangement, these risks should also be considered when conducting 
the ongoing monitoring and control of that Material Outsourcing Arrangement. Specific risk 
management expertise is required when assessing, monitoring, and controlling material business 
activities outsourced to service providers conducting the activities outside Saudi Arabia.  
The risk assessment will also cover the impact of the material outsourcing arrangement in terms of its:  
• 
Overall risk profile and appetite; and  
• 
Systems and controls.",Medium
7.5.5,"assess the person’s governance, risk management, and internal controls
and its ability to comply with applicable laws;","Insurers must address the requirement described in section 7.5.5: assess the person’s governance, risk management, and internal controls and its ability to comply with applicable laws;",Risk Management,Risk Management,Enterprise Risk Management,Completely Covered,No gap identified. The uploaded policy appears to cover this obligation.,11,"The evaluation process should include an assessment of the third party’s control framework, covering 
performance standards, policies, procedures, compliance, reporting, and monitoring processes.  
The due diligence should also address other issues, such as business strategy, reputation, 
experience with the proposed outsourced function, reliance on and performance of external third 
party, insurance coverage, business continuity management, and potential conflict of interest where 
the third party is related to ABC or has arrangements with competitors.  
The review process should be made on a yearly basis and retain the necessary expertise to supervise 
the outsourced activity effectively. 
Overseas Outsourcing 
In addition to the general due diligence process outlined above, in assessing whether to approve an 
application to offshore a Material Outsourcing Arrangement, would expect to consider the risks which 
could arise from overseas Outsourcing, including:  
• 
Country risk - the risk that overseas economic, political, and/or social events will impact the ability 
of the overseas third party to continue to provide an outsourced service to ABC.  
• 
Compliance (legal) risk - the risk that overseas outsourcing arrangements will impact ABC’s ability 
to comply with relevant Saudi Arabia and overseas laws and regulations (including accounting 
practices). 
• 
Contractual risk - the risk that ABC’s ability to enforce the overseas outsourcing agreement may 
be partly or completely hindered. 
• 
Access risk - the risk that the ability of ABC to obtain information and to retain records may be 
partly or completely hindered. This risk also refers to the potential difficulties or inability of ABC to 
access the third party and the material function activity being conducted. 
• 
Counterparty risk - the risk arising from the third party’s failure to meet the terms of any contract 
with ABC or to otherwise perform as agreed. 
• 
Brand risk – the risk arising from the third party’s failure to protect or respond to the damage done 
to ABC’s reputation including through contagion. 
• 
Security risk – the risk arising from the third party’s failure to have secure systems to protect their 
held data against cyberattacks or internal system breaches.  
These and other additional risks should be specifically addressed during the preparation of a business 
case when conducting the due diligence and during contract negotiations. Where ABC approves the 
overseas material outsourcing arrangement, these risks should also be considered when conducting 
the ongoing monitoring and control of that Material Outsourcing Arrangement. Specific risk 
management expertise is required when assessing, monitoring, and controlling material business 
activities outsourced to service providers conducting the activities outside Saudi Arabia.  
The risk assessment will also cover the impact of the material outsourcing arrangement in terms of its:  
• 
Overall risk profile and appetite; and  
• 
Systems and controls.",Low
7.5.6,"assess whether the person's operational capability or financial position pose
a material risk to the person's ability to deliver the proposed outsourced
function or activity;",Insurers must address the requirement described in section 7.5.6: assess whether the person's operational capability or financial position pose a material risk to the person's ability to deliver the proposed outsourced function or activity;,Risk Management,Risk Management,Enterprise Risk Management,Completely Covered,No gap identified. The uploaded policy appears to cover this obligation.,9,"6. Overseas outsourcing arrangements 
GRC Function should for any proposed outsourcing arrangements involving transmission, processing, 
and retention of policyholder data and/or financial data and/or material outsourcing to a third party 
located overseas (including head offices and/or regional offices and/or affiliated entities of insurers), 
must provide the following information to Insurance Authority accompanying the request:  
a. Details of the function to be outsourced, 
b. Categorization of the function (material or non-material outsourcing), 
c. Reason for outsourcing, 
d. Details on the third party located overseas (i.e., name, country, address, license, activity, etc.), 
e. Details on the nature and disposal of the data to be transferred, 
f. 
Details on the confidentiality agreement with the third party, 
Confirmation in writing from ABC by a legal opinion affirming ABC’s right of access to the outsourcing 
activity at the third party (Service Provider), in which the third party must guarantee to abide by the 
legal clause. (Alternatively, ABC may use a standard clause approved by Insurance Authority in its 
contract, instead of the legal opinion). 
7. Risk identification and mitigation measures 
Risk identification 
Related Mitigation Measures 
Outsourcing objectives are not 
aligned with the overall business 
strategy and the target operating 
model 
Clear alignment between the material outsourcing arrangement 
and the overall business strategy ensures the target operating 
model. 
Scope and requirements not fully 
understood 
A scope assessment should be both comprehensive in scope and 
flexible enough to support current and future requirements. 
Business case not covering all 
aspects of the material outsourcing 
arrangement 
A solid business case with a current assessment of financial, 
operational, and organizational needs to provide a baseline for 
evaluating a material outsourcing arrangement. This provides 
valuable insights into the total cost of the material outsourcing 
arrangement and the trade-offs. 
The third party may not have the 
plans, tools, systems, and 
resources to manage the material 
outsourcing arrangements 
Change management programs identify and mitigate capability and 
communication gaps and include planning and implementation that 
determine the pace and success of the material outsourcing 
arrangement. 
Managing the many risks raised by the material outsourcing arrangement will be adopted to align the 
objectives, internal and external resources, implements sound governance and controls, and address 
all relevant regulatory and compliance matters.  
Such an approach will include the ability to measure, track and manage all risks associated with specific 
material outsourcing arrangements.",Low
7.5.7,"develop appropriate management and monitoring procedures for the
proposed outsourcing consistent with that set out in paragraphs 7.9 to 7.11;",Insurers must address the requirement described in section 7.5.7: develop appropriate management and monitoring procedures for the proposed outsourcing consistent with that set out in paragraphs 7.9 to 7.11;,Governance,Operations,Business Operations,Completely Covered,No gap identified. The uploaded policy appears to cover this obligation.,7,"• 
Ensure that confidentiality provisions and security needs are adequately addressed. 
• 
Ensure that appropriate reporting is in place to enable effective management and control of the material 
outsourcing arrangements and to identify potential problems at an early stage. 
• 
Conduct the due diligence rating evaluation by assessing the outsourcing service provider on various control 
as per outsourcing risk assessment form. 
• 
Ensuring that all requirements are presented within the business case for submission to the Board for their 
review and approval.
2.4 Senior Management 
The activities of Senior Management / Department Heads shall include but not be limited to: 
• 
Prepare a business case detailing the requirements as stated within this policy. 
• 
Define the required service level agreement. 
• 
Develop key performance indicators (KPIs) for effective and efficient monitoring. 
• 
Prepare half yearly performance reports for review to the Risk Management. 
• 
Immediately report any potential problems to the Risk Management and Compliance.",Low
7.5.8,"develop appropriate contingency plans to ensure the continuous functioning
of the insurance business of the insurer in the event that the outsourcing
arrangement is terminated or ineffective; and",Insurers must address the requirement described in section 7.5.8: develop appropriate contingency plans to ensure the continuous functioning of the insurance business of the insurer in the event that the outsourcing arrangement is terminated or ineffective; and,Outsourcing / Third Party,Operations,Business Operations,Partially Covered,"Policy partially addresses the obligation. Update the policy to explicitly cover the missing requirement, control owner, review frequency, and evidence expectations.",7,"• 
Ensure that confidentiality provisions and security needs are adequately addressed. 
• 
Ensure that appropriate reporting is in place to enable effective management and control of the material 
outsourcing arrangements and to identify potential problems at an early stage. 
• 
Conduct the due diligence rating evaluation by assessing the outsourcing service provider on various control 
as per outsourcing risk assessment form. 
• 
Ensuring that all requirements are presented within the business case for submission to the Board for their 
review and approval.
2.4 Senior Management 
The activities of Senior Management / Department Heads shall include but not be limited to: 
• 
Prepare a business case detailing the requirements as stated within this policy. 
• 
Define the required service level agreement. 
• 
Develop key performance indicators (KPIs) for effective and efficient monitoring. 
• 
Prepare half yearly performance reports for review to the Risk Management. 
• 
Immediately report any potential problems to the Risk Management and Compliance.",Medium
